trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
12481,2297.0,2724.928,-6390.233593541989,11840.08961923779,39,2024-08-26,2,18230.32321277978
12483,2993.0,2986.6892,-5253.823594597174,11227.201970604254,35,2024-08-26,1,16481.025565201428
12487,2824.0,4001.8755,-4505.630829136796,12509.381691258379,36,2024-08-26,1,17015.012520395176
12490,2602.0,2560.4614,-6137.230767244366,11258.153504365948,37,2024-08-26,2,17395.384271610314
12494,4425.0,3340.6719,-4899.840894249273,11581.184670952154,35,2024-08-26,1,16481.025565201428
12495,2768.0,2746.9949,-5493.517959144903,10987.507606056524,35,2024-08-26,1,16481.025565201428
12497,3158.0,3138.6633,-5368.84290866179,11646.169611733383,36,2024-08-26,1,17015.012520395172
12499,2367.0,2640.0537,-5487.275994946514,10767.383317639385,35,2024-08-26,2,16254.6593125859
12501,1982.0,2683.0164,-5147.2620918255525,10513.294608305045,34,2024-08-26,1,15660.556700130597
12503,3253.0,2896.7903,-5343.722582367254,11137.302982834173,35,2024-08-26,1,16481.025565201428
12507,2533.0,2838.8254,-5401.687442329718,11079.33812287171,35,2024-08-26,1,16481.025565201428
12509,3392.0,3192.928,-5128.417426715474,11514.273238788228,36,2024-08-26,1,16642.690665503702
12511,3032.0,3216.6826,-5023.830141332937,11457.19542386849,35,2024-08-26,1,16481.025565201428
12513,3216.0,2983.0315,-5524.474874775834,11490.537645619339,36,2024-08-26,1,17015.012520395172
12519,2966.0,3548.279,-5235.37841947236,12331.93669278779,37,2024-08-26,1,17567.315112260152
12528,2795.0,2776.68,-6168.695885287451,11722.055897341894,38,2024-08-26,2,17890.751782629344
12530,2487.0,2656.5168,-5443.894230549807,10756.927742665286,35,2024-08-26,2,16200.821973215094
12531,3060.0,3874.2505,-4366.262385872198,12114.76317932923,35,2024-08-26,1,16481.025565201428
12533,3085.0,3135.5928,-6578.426866421229,12849.612496265894,40,2024-08-26,2,19428.039362687123
12535,2794.0,2820.2903,-5757.970558969859,11398.55096897352,37,2024-08-26,2,17156.52152794338
12537,3085.0,3133.9287,-6580.090897926813,12847.94846476031,40,2024-08-26,2,19428.039362687123
12541,3033.0,3147.5886,-5633.525976353544,11928.703077309983,38,2024-08-26,2,17562.229053663526
12543,3392.0,3091.5637,-5136.929658969974,11320.057166060544,37,2024-08-26,2,16456.98682503052
12545,3214.0,3332.5442,-4842.632088293143,11507.720322240897,35,2024-08-26,1,16350.35241053404
12547,3409.0,3262.2275,-6089.798252620785,12614.253180065243,39,2024-08-26,2,18704.05143268603
12553,3043.0,2927.8152,-5370.830361094531,11226.460823741016,37,2024-08-26,2,16597.291184835547
12557,3139.0,3833.5093,-3825.3684757286096,11492.387053304294,34,2024-08-26,1,15317.755529032904
12559,3036.0,3059.6025,-5859.923137459912,11979.128330025831,38,2024-08-26,2,17839.051467485744
12562,2796.0,3345.812,-4801.929830446688,11493.553777590243,35,2024-08-26,1,16295.483608036931
12563,3603.0,3126.7693,-5916.268573699812,12169.807292877058,38,2024-08-26,2,18086.07586657687
12565,3649.0,3101.3103,-5941.727653919081,12144.34821265779,38,2024-08-26,2,18086.07586657687
12569,4083.0,3319.1802,-5188.325996916718,11826.686523478455,36,2024-08-26,1,17015.012520395172
12573,3738.0,3515.0664,-4992.439736645646,12022.572783749527,36,2024-08-26,1,17015.012520395172
12575,3286.0,3759.3418,-3982.9787691531187,11501.662340014935,34,2024-08-26,1,15484.641109168053
12579,3771.0,3351.015,-6363.004850635058,13065.034512052065,40,2024-08-26,2,19428.039362687123
12587,3394.0,3374.4475,-6339.572239527231,13088.467123159891,40,2024-08-26,2,19428.039362687123
12589,3274.0,3261.767,-5245.73912457747,11769.273395817703,36,2024-08-26,1,17015.012520395172
12593,3613.0,3320.099,-6393.9205154271185,13034.118847260004,40,2024-08-26,2,19428.039362687123
12595,3460.0,3228.5063,-5278.999826710648,11736.012693684524,36,2024-08-26,1,17015.012520395172
12597,3155.0,3298.1504,-5209.355863850541,11805.656656544632,36,2024-08-26,1,17015.012520395172
12599,3254.0,4072.8926,-4167.620151069952,12313.405414131475,35,2024-08-26,1,16481.025565201428
12601,3528.0,3467.175,-6246.844603905207,13181.194758781916,40,2024-08-26,2,19428.039362687123
12603,3150.0,3532.9988,-5819.026984729855,12885.024447956173,39,2024-08-26,2,18704.05143268603
