Segment,Direction,Mean Width (s),Std Width (s),Median Width (s),Frac. Route Unc.,Mean Actual (s),N Samples,Rank
1,1,227.94148965236278,1.343461679452612e-13,227.94148965236275,0.0567369555055107,874.8377922898673,4747,1
1,2,227.94148965236275,9.195618648488802e-15,227.94148965236275,0.05358821238316797,33.457815035154134,3698,2
18,1,179.6543759687829,2.0748951347168618e-14,179.65437596878286,0.044733495191039085,161.85020920502092,4780,3
18,2,179.65437596878286,4.3515078324638557e-16,179.65437596878286,0.04230665481876773,86.6259667213499,4267,4
17,1,164.1997882955465,5.201469689541248e-15,164.1997882955465,0.04067645648090521,114.74305239179955,4390,5
17,2,164.1997882955465,3.4541727578126946e-14,164.1997882955465,0.0388163104117709,250.2258357971344,4397,5
21,1,147.04652277304433,4.96264573093852e-15,147.04652277304433,0.036520281168625095,80.25451774439364,4593,6
21,2,147.04652277304433,8.476421987615511e-15,147.04652277304433,0.03470390425974605,162.75342465753425,4307,6
25,1,144.59680296898222,0.0,144.59680296898222,0.035985948093111564,86.18216479559415,4721,7
25,2,144.59680296898222,3.438771845870184e-15,144.59680296898222,0.03404924264219644,115.37619961612285,4168,7
33,2,144.05931099821498,5.402034410838994e-15,144.05931099821498,0.03407223820204645,104.68261851015801,4430,8
33,1,144.05931099821498,1.0687599573399929e-14,144.05931099821498,0.03587012094910839,97.60067825349725,4718,8
26,1,137.04508050409726,0.0,137.04508050409726,0.03404826970807596,64.8994134260265,4603,9
26,2,137.04508050409726,1.410494192134633e-14,137.04508050409726,0.03239085253868767,137.49291914116034,4378,9
14,1,136.37707298846018,2.5585627788655145e-14,136.37707298846016,0.03387413357198011,155.67190866006032,4642,10
14,2,136.37707298846016,0.0,136.37707298846016,0.03202799708349531,104.28632264529058,3992,11
27,2,134.2003852229172,0.0,134.2003852229172,0.03169848616105471,92.59609644087256,4355,12
27,1,134.2003852229172,0.0,134.2003852229172,0.03327296421112741,61.32314311594203,4416,12
15,2,127.84069776531828,0.0,127.84069776531828,0.03017067293087118,121.0636192271442,4244,13
15,1,127.84069776531827,0.0,127.84069776531828,0.03177460045403459,70.99864620938628,4432,14
2,2,127.40318582427756,1.7266950163874668e-15,127.40318582427756,0.030094720227323447,190.84178966789668,4336,15
2,1,127.40318582427756,0.0,127.40318582427756,0.031699733696731146,115.91080213903743,4675,15
19,2,126.29167634699812,1.3494809203121256e-14,126.2916763469981,0.029751437216658867,84.20095351609058,4195,16
19,1,126.29167634699812,1.1907085584993564e-14,126.2916763469981,0.031418406927646435,78.38672719412018,4626,16
29,1,123.89964054586693,0.0,123.89964054586693,0.030849962521440715,75.34052011558124,4499,17
29,2,123.89964054586692,1.4489135629732462e-14,123.89964054586693,0.029296538656514468,136.36827835517397,4426,18
16,1,123.34676059896441,0.0,123.34676059896441,0.030609221372301855,74.92575354609929,4512,19
16,2,123.34676059896441,0.0,123.34676059896441,0.02894965037635848,100.16102110947472,4074,19
24,2,119.09085096155846,9.657970715837647e-15,119.09085096155844,0.02812429309321603,63.38343919077864,4251,20
24,1,119.09085096155844,1.4163518152560793e-14,119.09085096155844,0.029640290252792984,99.60317460317461,4662,21
28,2,114.22235979320902,0.0,114.22235979320902,0.02688705992086465,70.06067146282973,4170,22
28,1,114.22235979320902,0.0,114.22235979320902,0.02841144541379197,74.68773315777923,4557,22
8,1,112.1598273941041,6.743550404139409e-15,112.15982739410411,0.02792469438106431,114.8065463701217,4766,23
8,2,112.1598273941041,4.5543017998637814e-15,112.1598273941041,0.02643186204104578,61.85320886814469,4285,23
32,2,109.81167659556512,9.965696345441694e-15,109.8116765955651,0.0259409399518921,75.08350444900753,4383,24
32,1,109.8116765955651,8.217496866562582e-15,109.8116765955651,0.027383136251299966,67.28099372889533,4146,25
20,2,107.97640955052273,1.4409023610718257e-15,107.97640955052273,0.025317787797655544,54.78365505139133,3989,26
20,1,107.97640955052272,1.4094692019134199e-14,107.97640955052272,0.026840436336263613,104.08205015398153,4546,27
44,1,103.7653518911115,0.0,103.7653518911115,0.02452126227290969,97.109375,128,28
44,2,103.7653518911115,0.0,103.7653518911115,0.02405553277384292,54.78005115089514,1173,28
6,1,102.49046015906468,4.987503199667595e-15,102.49046015906468,0.025502381764345824,107.39219051705642,4661,29
6,2,102.49046015906467,1.171341708899523e-14,102.49046015906467,0.024142392141051863,92.53357058125741,4215,30
52,1,100.9147293120587,0.0,100.91472931205868,0.01930679896107839,55.714285714285715,7,31
51,1,100.9147293120587,0.0,100.91472931205868,0.01930679896107839,74.42857142857143,7,31
54,2,100.91472931205868,0.0,100.91472931205868,0.020385681678457907,69.33333333333333,3,32
55,2,100.91472931205868,,100.91472931205868,0.019423144952851412,75.0,1,32
52,2,100.91472931205868,0.0,100.91472931205868,0.020607574007351748,82.0,4,32
51,2,100.91472931205868,0.0,100.91472931205868,0.02052289609191236,42.0,5,32
50,2,100.91472931205868,0.0,100.91472931205868,0.0221280424475557,55.666666666666664,6,32
49,2,100.91472931205868,0.0,100.91472931205868,0.022998356888778736,43.2,10,32
48,2,100.91472931205868,0.0,100.91472931205868,0.023763191914759587,53.88235294117647,17,32
47,2,100.91472931205868,0.0,100.91472931205868,0.02505038863792849,69.3076923076923,26,32
53,2,100.91472931205868,0.0,100.91472931205868,0.020607574007351748,73.5,4,32
55,1,100.91472931205868,0.0,100.91472931205868,0.01917932765046394,34.0,2,32
56,2,100.91472931205868,,100.91472931205868,0.019423144952851412,39.0,1,32
53,1,100.91472931205868,0.0,100.91472931205868,0.019246063385248417,52.5,6,32
50,1,100.91472931205868,0.0,100.91472931205868,0.019859843913691912,50.375,8,32
54,1,100.91472931205868,0.0,100.91472931205868,0.019184693314632642,60.333333333333336,3,32
49,1,100.91472931205868,0.0,100.91472931205868,0.02086326175360903,111.66666666666667,12,32
48,1,100.91472931205868,0.0,100.91472931205868,0.020979172508737355,88.6923076923077,13,32
47,1,100.91472931205868,0.0,100.91472931205868,0.021458118092457044,63.666666666666664,15,32
40,1,98.58634662688362,1.3209628805009772e-14,98.58634662688361,0.023559481755290063,91.57711138310893,1634,33
40,2,98.58634662688361,5.0163005998586935e-15,98.58634662688362,0.023137813545278194,67.60057803468209,3460,34
35,1,97.60931468017736,5.224014089533623e-16,97.60931468017736,0.024283095886326638,78.71132627786534,4441,35
35,2,97.60931468017736,0.0,97.60931468017736,0.02308559951001009,63.104822277563954,4417,35
23,1,95.19105032461458,1.2658268453711304e-14,95.19105032461458,0.02367181166201172,91.68183769858308,4658,36
23,2,95.19105032461458,7.913828428636894e-15,95.19105032461457,0.02247563537341837,73.65583218072845,4338,36
7,2,93.9038753915087,2.4492715463000414e-15,93.9038753915087,0.022130377164195504,65.20580046403713,4310,37
7,1,93.90387539150869,9.162387931357836e-15,93.90387539150869,0.023370612976491227,83.71256345177665,4728,38
41,2,93.11450984940828,5.955771017425162e-15,93.11450984940828,0.021561037694025346,56.954493742889646,2637,39
41,1,93.11450984940826,4.390111960850446e-15,93.11450984940826,0.022002678665265087,106.21475953565506,1206,40
30,2,92.95136803176797,2.308039872759781e-16,92.95136803176797,0.022031040618527654,70.53059071729957,3792,41
30,1,92.95136803176797,0.0,92.95136803176797,0.023147310403063063,59.90801576872536,4566,41
36,1,92.31433509037589,7.951359929495315e-16,92.31433509037589,0.022780315126774822,79.08841940532082,3834,42
36,2,92.31433509037589,2.1583687704843336e-16,92.31433509037589,0.02177460839246074,57.59017527675277,4336,42
22,2,91.0500330457102,5.554331444956571e-15,91.0500330457102,0.02151838235619638,49.8076832981963,4269,43
22,1,91.05003304571018,9.950142696536701e-15,91.05003304571018,0.022643963856871525,81.70244215938304,4668,44
9,2,90.47597372404549,7.512149972946383e-15,90.47597372404547,0.021301967668979675,67.48469024448137,4213,45
9,1,90.47597372404547,9.797228799726136e-15,90.47597372404547,0.022522169997744753,80.30636576538215,4697,46
42,2,84.25026201518921,2.813065629200991e-16,84.25026201518921,0.019460149200407558,69.98864081472777,2553,47
42,1,84.25026201518921,7.684350157942889e-16,84.25026201518921,0.019769178626699465,110.42919708029197,685,47
31,1,83.9301461149085,4.763489323195748e-16,83.9301461149085,0.020864993644429286,50.62502808357672,4451,48
31,2,83.9301461149085,4.3433703632906695e-16,83.9301461149085,0.019803540445659962,65.61779126780294,4283,48
10,2,83.87315206199456,6.986198896032781e-15,83.87315206199455,0.01977555499409309,72.62812647475224,4238,49
10,1,83.87315206199455,6.255306510469206e-16,83.87315206199455,0.020867449050118628,62.43478260869565,4646,50
34,2,83.33868123599842,5.74104824315166e-16,83.33868123599842,0.019693724497352086,45.2034965034965,4290,51
34,1,83.33868123599842,3.6545744962481875e-15,83.33868123599842,0.020738227061116533,99.24617704070644,4643,51
39,1,83.33200126537992,0.0,83.33200126537992,0.02010962486412988,72.76325837929572,2357,52
39,2,83.33200126537992,0.0,83.33200126537992,0.01958223340295476,54.732346517835474,4121,52
13,2,80.28321667843339,1.1256716963405028e-14,80.28321667843339,0.018918619253822388,89.27036857419981,4124,53
13,1,80.28321667843338,3.6193031290111624e-16,80.28321667843338,0.019958658287781293,48.53393860786857,4626,54
12,1,76.53933881079101,1.0478277294735632e-14,76.53933881079102,0.01906033266856371,84.42697811447812,4752,55
12,2,76.53933881079101,8.741004588436555e-16,76.53933881079101,0.018023807331780328,62.854137115839244,4230,55
37,2,76.5351991106894,0.0,76.5351991106894,0.018049454975082632,51.95925297113752,4123,56
37,1,76.5351991106894,0.0,76.5351991106894,0.018737527102532864,67.83276023757425,3199,56
38,1,75.60477015149056,1.2388172835012692e-15,75.60477015149056,0.018406145508297795,65.06975138121547,2896,57
38,2,75.60477015149056,0.0,75.60477015149056,0.017794936257974223,51.613780173423955,4267,57
46,1,73.37463216721153,2.638889472124388e-15,73.37463216721153,0.01644684870670652,81.86666666666666,30,58
46,2,73.37463216721153,1.98991768347129e-15,73.37463216721153,0.018892267900904904,59.51923076923077,52,58
11,1,71.19500688720257,3.875687649600546e-15,71.19500688720257,0.017724829137693396,58.64322033898305,4720,59
11,2,71.19500688720257,2.180102103320679e-16,71.19500688720257,0.016791451042646365,73.58682352941176,4250,59
5,2,70.37951732855188,4.9786886075351196e-15,70.37951732855188,0.01659550126726981,69.21932245922208,3985,60
5,1,70.37951732855188,9.359261342166407e-15,70.37951732855188,0.017517557472979364,84.21585233441911,4605,60
45,1,64.50761407913663,6.292672236015273e-15,64.50761407913663,0.015129741671823217,90.38461538461539,52,61
