Method,Level,Calibration,NCM,MAE (s),RMSE (s),PICP,MPIW (s),MPIW (min),Cal. Error,Winkler,≥90%
Base XGBoost (No CP),Route,—,—,826.8031732017184,1190.7502182239289,,,,,,—
Route Static + Absolute,Route,Static,Absolute,826.8031732017184,1190.7502182239289,0.8871280724450195,3998.654245552007,66.64423742586679,0.012871927554980567,5714.745619444498,no
Route Static + Normalized,Route,Static,Normalized,826.8031732017184,1190.7502182239289,0.9241052177662785,3865.8074759366687,64.43012459894447,0.024105217766278497,4878.052454846806,YES
Route Online Exp + Absolute,Route,Online Expanding,Absolute,826.8031732017184,1190.7502182239289,0.8914402759810263,4084.5046329207707,68.07507721534618,0.008559724018973758,5706.352083244543,no
Route Online Exp + Normalized,Route,Online Expanding,Normalized,826.8031732017184,1190.7502182239289,0.9114920224234584,3744.2344134987998,62.40390689164666,0.01149202242345837,4857.241917143536,YES
Route Online Sl14d + Absolute,Route,Online Sliding-14d,Absolute,826.8031732017184,1190.7502182239289,0.8939197930142303,4122.446346979153,68.70743911631921,0.0060802069857697205,5706.864367292744,no
Route Online Sl14d + Normalized,Route,Online Sliding-14d,Normalized,826.8031732017184,1190.7502182239289,0.9053471323846486,3678.5101565477767,61.30850260912961,0.0053471323846485674,4848.725063440239,YES
Seg Static + Absolute,Seg→Route,Static,Absolute,440.9570418436397,657.2914462797595,0.9928848641655886,4573.957386994201,76.23262311657002,0.09288486416558861,4623.462637457969,YES
Seg Static + Normalized,Seg→Route,Static,Normalized,440.9570418436397,657.2914462797595,0.9994609745579991,5226.388084326845,87.10646807211408,0.09946097455799907,5228.897643547922,YES
Seg Online + Absolute,Seg→Route,Online Expanding,Absolute,440.9570418436397,657.2914462797595,0.9926692539887882,4555.670559389071,75.92784265648451,0.09266925398878822,4606.432904571194,YES
Seg Online + Normalized,Seg→Route,Online Expanding,Normalized,440.9570418436397,657.2914462797595,0.9994609745579991,5250.222512913824,87.50370854856374,0.09946097455799907,5252.0049592756,YES
